Batch,Problem,FilePath,SolutionFound,SolutionCount,ComputationTime_ms,Restarts,TotalSteps,AvgStepsToSolution,EstimatedEnergy_microjoules,EstimatedPower_mW,EnergyPerSolution_microjoules,RunTimestamp
t_batch_2,formula_14.cnf,./problems/t_batch_2/formula_14.cnf,True,1,4.759,1,49711,49711.0,83213.73245,17485.55,83213.73245,2025-03-09T13:27:47.976888
t_batch_2,formula_15.cnf,./problems/t_batch_2/formula_15.cnf,True,1,8.291,1,87072,87072.0,160460.69759999998,19353.6,160460.69759999998,2025-03-09T13:27:47.992293
t_batch_2,formula_16.cnf,./problems/t_batch_2/formula_16.cnf,True,1,1.748,1,17076,17076.0,27712.442399999996,15853.8,27712.442399999996,2025-03-09T13:27:48.001376
t_batch_2,formula_17.cnf,./problems/t_batch_2/formula_17.cnf,True,1,2.472,1,26154,26154.0,40312.6344,16307.7,40312.6344,2025-03-09T13:27:48.010103
t_batch_2,formula_18.cnf,./problems/t_batch_2/formula_18.cnf,True,1,0.019,1,125,125.0,285.11875000000003,15006.25,285.11875000000003,2025-03-09T13:27:48.013825
t_batch_2,formula_19.cnf,./problems/t_batch_2/formula_19.cnf,True,1,6.861,1,78802,78802.0,129948.02609999999,18940.1,129948.02609999999,2025-03-09T13:27:48.027151
t_batch_2,formula_2.cnf,./problems/t_batch_2/formula_2.cnf,True,1,0.527,1,5688,5688.0,8054.878800000001,15284.4,8054.878800000001,2025-03-09T13:27:48.033659
t_batch_2,formula_20.cnf,./problems/t_batch_2/formula_20.cnf,True,1,0.933,1,10103,10103.0,14466.30495,15505.15,14466.30495,2025-03-09T13:27:48.040885
t_batch_2,formula_21.cnf,./problems/t_batch_2/formula_21.cnf,True,1,1.798,1,19834,19834.0,28753.076600000004,15991.7,28753.076600000004,2025-03-09T13:27:48.049260
t_batch_2,formula_22.cnf,./problems/t_batch_2/formula_22.cnf,False,0,90.282,1,1000000,,5868330.0,65000.0,,2025-03-09T13:27:48.145936
t_batch_2,formula_23.cnf,./problems/t_batch_2/formula_23.cnf,True,1,2.421,1,25714,25714.0,39427.6797,16285.7,39427.6797,2025-03-09T13:27:48.155352
t_batch_2,formula_24.cnf,./problems/t_batch_2/formula_24.cnf,True,1,29.374,1,327309,327309.0,921328.7283,31365.45,921328.7283,2025-03-09T13:27:48.191588
t_batch_2,formula_25.cnf,./problems/t_batch_2/formula_25.cnf,True,1,22.965,1,260570,260570.0,643674.5025000001,28028.5,643674.5025000001,2025-03-09T13:27:48.220909
